21.18	-2.81	30.63
18.10	-4.80	31.85
18.64	-2.45	30.98
17.56	-1.36	31.33
18.82	-3.35	30.11
18.28	-2.45	28.19
18.64	-1.00	29.93
19.19	-2.27	29.76
19.00	-4.98	30.63
16.83	-8.24	30.28
18.82	-9.50	31.15
18.10	-9.14	30.11
18.64	-10.05	30.98
17.56	-10.41	31.68
16.29	-9.50	30.45
19.00	-11.13	29.58
20.81	-10.77	29.93
19.00	-11.50	29.93
15.75	-12.22	30.63
18.46	-12.40	31.85
15.93	-13.85	30.80
16.47	-10.41	31.68
17.56	-8.60	30.98
19.37	-8.24	29.58
18.46	-5.88	29.41
17.92	-4.98	29.58
18.28	-3.89	30.63
19.00	-4.26	30.28
19.37	-4.26	30.28
17.74	-4.08	31.15
18.64	-4.98	31.33
17.74	-6.25	29.06
17.56	-7.88	30.63
17.56	-8.60	30.63
18.28	-8.96	30.98
17.38	-10.59	31.15
17.56	-10.77	31.33
20.27	-9.87	29.76
20.45	-8.24	29.23
21.72	-8.42	29.06
21.72	-7.33	28.71
19.19	-10.23	32.20
20.09	-11.86	29.58
17.92	-14.03	30.63
16.29	-12.76	31.15
16.47	-12.94	31.33
17.01	-11.68	30.80
17.74	-8.42	31.50
18.10	-6.97	29.76
20.09	-5.34	30.98
19.00	-6.07	28.19
18.10	-5.88	30.11
19.73	-4.26	29.93
19.00	-7.15	29.93
19.37	-6.79	29.93
19.55	-8.78	29.76
19.00	-8.96	30.28
19.00	-10.77	29.58
21.18	-10.77	28.19
19.73	-8.60	29.23
19.19	-7.33	29.06
19.37	-7.15	29.58
19.37	-7.15	29.58
18.82	-6.97	31.15
18.10	-5.52	31.50
19.55	-5.52	30.45
19.73	-4.98	30.28
20.99	-5.16	30.11
19.91	-5.88	30.11
18.64	-3.53	30.98
20.81	-7.15	30.98
19.55	-8.06	29.76
20.27	-7.33	30.11
20.63	-7.33	30.45
19.37	-8.24	30.63
19.73	-9.69	30.63
20.09	-8.96	30.98
18.46	-12.04	30.80
18.28	-12.94	30.98
15.93	-13.85	31.85
17.38	-13.12	31.15
17.01	-10.23	30.80
19.00	-7.15	30.98
17.38	-6.97	30.11
18.64	-4.62	30.28
20.45	-6.07	31.68
19.73	-2.81	30.98
20.99	-0.46	30.80
19.91	-1.90	31.15
20.99	-2.99	30.11
18.82	-4.08	31.15
20.27	-6.25	29.41
19.00	-7.88	30.63
16.11	-8.96	30.98
18.64	-10.41	32.03
15.75	-13.31	31.68
15.57	-14.93	31.15
16.83	-14.03	31.68
17.92	-12.22	29.93
17.38	-10.59	29.76
18.28	-8.24	30.28
18.64	-8.24	30.28
20.09	-7.88	30.98
20.09	-5.70	33.07
19.91	-3.35	32.90
21.72	-0.09	30.45
19.73	0.81	30.63
20.63	-0.09	29.76
18.10	-7.33	30.80
18.46	-9.14	31.50
19.37	-10.05	31.33
20.27	-9.87	29.41
22.44	-1.18	29.76
22.80	4.25	28.36
19.37	-3.17	30.28
18.10	-3.35	30.11
17.92	-11.13	28.88
16.11	-5.70	30.98
18.64	-2.81	30.63
16.47	-12.58	30.98
19.55	-1.18	31.15
19.37	5.88	30.28
19.19	-2.99	29.76
17.38	-5.88	31.15
18.10	-10.23	29.41
18.46	-10.23	28.01
17.38	-6.61	31.15
17.92	-15.84	30.98
20.27	-10.59	31.85
18.64	5.15	28.88
19.37	2.26	31.68
18.64	-2.81	31.33
19.73	-7.51	30.28
20.27	-14.21	28.36
19.73	-6.79	28.19
21.36	-10.95	29.41
19.00	-0.27	30.28
20.63	7.51	28.36
20.63	1.35	31.15
17.92	-7.88	31.68
17.38	-10.95	31.15
16.11	-19.46	28.88
16.83	-8.24	30.98
15.57	-11.68	32.20
18.10	-5.88	30.11
16.83	11.67	27.49
15.93	-5.88	32.90
14.84	-12.40	31.50
18.64	-9.32	31.33
19.73	-11.50	30.98
